ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
Exp_20260311_171422,1,0.012,20.00
Exp_20260311_171422,1,0.022,19.79
Exp_20260311_171422,1,0.033,19.42
Exp_20260311_171422,1,0.046,19.02
Exp_20260311_171422,1,0.056,18.74
Exp_20260311_171422,1,0.067,18.74
Exp_20260311_171422,1,0.080,18.77
Exp_20260311_171422,1,0.089,18.43
Exp_20260311_171422,1,0.100,18.01
Exp_20260311_171422,1,0.155,17.21
Exp_20260311_171422,1,0.163,16.74
Exp_20260311_171422,1,0.166,12.14
Exp_20260311_171422,1,0.172,11.60
Exp_20260311_171422,1,0.184,11.27
Exp_20260311_171422,1,0.195,9.34
Exp_20260311_171422,1,0.206,8.02
Exp_20260311_171422,1,0.220,6.36
Exp_20260311_171422,1,0.230,3.84
Exp_20260311_171422,1,0.239,2.17
Exp_20260311_171422,1,0.254,0.57
Exp_20260311_171422,1,0.267,1.20
Exp_20260311_171422,1,0.273,2.49
Exp_20260311_171422,1,0.284,3.44
Exp_20260311_171422,1,0.295,4.12
Exp_20260311_171422,1,0.306,5.02
Exp_20260311_171422,1,0.317,6.08
Exp_20260311_171422,1,0.331,6.11
Exp_20260311_171422,1,0.339,7.04
Exp_20260311_171422,1,0.350,7.66
Exp_20260311_171422,1,0.361,7.48
Exp_20260311_171422,1,0.372,7.92
Exp_20260311_171422,1,0.386,8.41
Exp_20260311_171422,1,0.395,8.25
Exp_20260311_171422,1,0.406,8.48
Exp_20260311_171422,1,0.417,8.75
Exp_20260311_171422,1,0.428,8.35
Exp_20260311_171422,1,0.442,8.56
Exp_20260311_171422,1,0.450,8.68
Exp_20260311_171422,1,0.461,8.00
Exp_20260311_171422,1,0.473,7.84
Exp_20260311_171422,1,0.483,7.80
Exp_20260311_171422,1,0.495,7.23
Exp_20260311_171422,1,0.506,7.05
Exp_20260311_171422,1,0.517,6.45
Exp_20260311_171422,1,0.528,5.42
Exp_20260311_171422,1,0.542,4.57
Exp_20260311_171422,1,0.553,3.92
Exp_20260311_171422,1,0.562,3.03
Exp_20260311_171422,1,0.573,2.12
Exp_20260311_171422,1,0.585,1.47
Exp_20260311_171422,1,0.596,0.50
Exp_20260311_171422,1,0.607,0.64
Exp_20260311_171422,1,0.619,1.12
Exp_20260311_171422,1,0.630,1.83
Exp_20260311_171422,1,0.641,2.68
Exp_20260311_171422,1,0.653,3.51
Exp_20260311_171422,1,0.667,4.21
Exp_20260311_171422,1,0.675,4.77
Exp_20260311_171422,1,0.687,4.77
Exp_20260311_171422,1,0.700,5.16
Exp_20260311_171422,1,0.710,5.07
Exp_20260311_171422,1,0.721,5.27
Exp_20260311_171422,1,0.732,5.33
Exp_20260311_171422,1,0.744,5.04
Exp_20260311_171422,1,0.755,4.93
Exp_20260311_171422,1,0.769,4.86
Exp_20260311_171422,1,0.777,4.53
Exp_20260311_171422,1,0.789,4.36
Exp_20260311_171422,1,0.800,4.14
Exp_20260311_171422,1,0.811,3.77
Exp_20260311_171422,1,0.822,3.77
Exp_20260311_171422,1,0.833,3.77
Exp_20260311_171422,1,0.844,3.70
Exp_20260311_171422,1,0.857,3.54
Exp_20260311_171422,1,0.868,3.39
Exp_20260311_171422,1,0.878,2.58
Exp_20260311_171422,1,0.888,2.20
Exp_20260311_171422,1,0.899,1.84
Exp_20260311_171422,1,0.911,2.03
Exp_20260311_171422,1,0.922,1.98
Exp_20260311_171422,1,0.933,1.89
Exp_20260311_171422,1,0.944,1.28
Exp_20260311_171422,1,0.955,1.02
Exp_20260311_171422,1,0.966,0.74
Exp_20260311_171422,1,0.980,0.59
Exp_20260311_171422,1,0.988,0.36
Exp_20260311_171422,1,0.999,0.14
Exp_20260311_171422,1,1.014,0.02
Exp_20260311_171422,1,1.022,0.23
Exp_20260311_171422,1,1.033,0.13
Exp_20260311_171422,1,1.044,0.18
Exp_20260311_171422,1,1.055,0.37
Exp_20260311_171422,1,1.066,0.54
Exp_20260311_171422,1,1.077,0.73
Exp_20260311_171422,1,1.091,0.74
Exp_20260311_171422,1,1.099,0.70
Exp_20260311_171422,1,1.110,0.47
Exp_20260311_171422,1,1.122,0.69
Exp_20260311_171422,1,1.133,0.84
Exp_20260311_171422,1,1.144,0.91
Exp_20260311_171422,1,1.155,0.84
Exp_20260311_171422,1,1.168,0.80
Exp_20260311_171422,1,1.177,0.63
Exp_20260311_171422,1,1.188,0.56
Exp_20260311_171422,1,1.202,0.53
Exp_20260311_171422,1,1.211,0.52
Exp_20260311_171422,1,1.221,0.50
Exp_20260311_171422,1,1.233,0.30
Exp_20260311_171422,1,1.244,0.10
Exp_20260311_171422,2,0.011,10.00
Exp_20260311_171422,2,0.022,9.99
Exp_20260311_171422,2,0.033,9.52
Exp_20260311_171422,2,0.047,9.50
Exp_20260311_171422,2,0.057,9.53
Exp_20260311_171422,2,0.067,9.46
Exp_20260311_171422,2,0.078,9.49
Exp_20260311_171422,2,0.089,9.60
Exp_20260311_171422,2,0.100,9.95
Exp_20260311_171422,2,0.111,10.02
Exp_20260311_171422,2,0.122,9.97
Exp_20260311_171422,2,0.133,9.56
Exp_20260311_171422,2,0.145,9.46
Exp_20260311_171422,2,0.158,9.51
Exp_20260311_171422,2,0.167,9.56
Exp_20260311_171422,2,0.178,9.68
Exp_20260311_171422,2,0.189,9.72
Exp_20260311_171422,2,0.200,9.44
Exp_20260311_171422,2,0.214,9.23
Exp_20260311_171422,2,0.222,9.10
Exp_20260311_171422,2,0.233,8.23
Exp_20260311_171422,2,0.245,8.02
Exp_20260311_171422,2,0.256,7.84
Exp_20260311_171422,2,0.270,7.29
Exp_20260311_171422,2,0.277,7.00
Exp_20260311_171422,2,0.289,6.53
Exp_20260311_171422,2,0.300,6.23
Exp_20260311_171422,2,0.311,5.89
Exp_20260311_171422,2,0.322,5.45
Exp_20260311_171422,2,0.333,5.43
Exp_20260311_171422,2,0.344,5.47
Exp_20260311_171422,2,0.355,5.47
Exp_20260311_171422,2,0.369,5.70
Exp_20260311_171422,2,0.381,5.63
Exp_20260311_171422,2,0.389,5.45
Exp_20260311_171422,2,0.400,5.51
Exp_20260311_171422,2,0.411,5.44
Exp_20260311_171422,2,0.422,5.45
Exp_20260311_171422,2,0.433,5.14
Exp_20260311_171422,2,0.444,4.92
Exp_20260311_171422,2,0.459,4.61
Exp_20260311_171422,2,0.466,3.96
Exp_20260311_171422,2,0.478,3.50
Exp_20260311_171422,2,0.491,2.92
Exp_20260311_171422,2,0.500,2.82
Exp_20260311_171422,2,0.511,2.69
Exp_20260311_171422,2,0.525,2.54
Exp_20260311_171422,2,0.533,2.34
Exp_20260311_171422,2,0.544,2.29
Exp_20260311_171422,2,0.556,2.11
Exp_20260311_171422,2,0.566,2.25
Exp_20260311_171422,2,0.577,2.21
Exp_20260311_171422,2,0.589,2.21
Exp_20260311_171422,2,0.602,2.26
Exp_20260311_171422,2,0.611,1.97
Exp_20260311_171422,2,0.622,1.73
Exp_20260311_171422,2,0.633,1.87
Exp_20260311_171422,2,0.644,1.80
Exp_20260311_171422,2,0.655,1.63
Exp_20260311_171422,2,0.667,1.09
Exp_20260311_171422,2,0.680,0.78
Exp_20260311_171422,2,0.689,0.83
Exp_20260311_171422,2,0.700,0.68
Exp_20260311_171422,2,0.713,0.31
Exp_20260311_171422,2,0.722,0.06
Exp_20260311_171422,2,0.733,0.14
Exp_20260311_171422,2,0.744,0.46
Exp_20260311_171422,2,0.755,0.73
Exp_20260311_171422,2,0.767,0.68
Exp_20260311_171422,2,0.777,0.80
Exp_20260311_171422,2,0.789,1.02
