ExpID,TrialNumber,Condition,Direction,TargetHeight(mm),FinalHeight(mm),Error(mm),CompletionTime(s)
Exp_20260311_171422,1,midair,Down,30.0,30.13,0.13,1.244
Exp_20260311_171422,2,midair,Up,10.0,10.16,0.16,1.399
Exp_20260311_171422,3,midair,Up,30.0,30.02,0.02,1.966
Exp_20260311_171422,4,midair,Down,30.0,31.27,1.27,1.000
Exp_20260311_171422,5,midair,Up,30.0,29.97,0.03,0.823
Exp_20260311_171422,6,midair,Down,30.0,26.07,3.93,0.575
Exp_20260311_171422,7,midair,Up,40.0,41.85,1.85,0.966
Exp_20260311_171422,8,midair,Up,50.0,49.65,0.35,0.964
Exp_20260311_171422,9,midair,Up,20.0,20.27,0.27,0.503
Exp_20260311_171422,10,midair,Down,20.0,18.55,1.45,0.600
Exp_20260311_171422,11,midair,Down,0.0,-1.71,1.71,0.602
Exp_20260311_171422,12,midair,Up,20.0,21.70,1.70,0.855
Exp_20260311_171422,13,midair,Down,10.0,7.50,2.50,0.577
