Cycle,Direction,Time_ms,Encoder_Count,Target_Count
1,Extending,-10.0,55,8273
1,Extending,-5.0,55,8273
1,Extending,0.0,55,8273
1,Extending,5.008,55,8273
1,Extending,10.044,59,8273
1,Extending,15.064,67,8273
1,Extending,20.104,81,8273
1,Extending,25.028,98,8273
1,Extending,30.028,119,8273
1,Extending,35.076,143,8273
1,Extending,40.036,170,8273
1,Extending,45.048,199,8273
1,Extending,50.036,230,8273
1,Extending,55.004,263,8273
1,Extending,60.056,299,8273
1,Extending,65.012,335,8273
1,Extending,70.064,373,8273
1,Extending,75.02,412,8273
1,Extending,80.048,453,8273
1,Extending,85.032,494,8273
1,Extending,90.06,537,8273
1,Extending,95.0,579,8273
1,Extending,100.032,624,8273
1,Extending,105.06,668,8273
1,Extending,110.032,713,8273
1,Extending,115.016,759,8273
1,Extending,120.02,804,8273
1,Extending,125.016,851,8273
1,Extending,130.036,898,8273
1,Extending,135.0,944,8273
1,Extending,140.008,991,8273
1,Extending,145.044,1039,8273
1,Extending,150.068,1087,8273
1,Extending,155.02,1135,8273
1,Extending,160.064,1183,8273
1,Extending,165.036,1231,8273
1,Extending,170.008,1279,8273
1,Extending,175.052,1329,8273
1,Extending,180.024,1377,8273
1,Extending,185.072,1426,8273
1,Extending,190.06,1475,8273
1,Extending,195.036,1523,8273
1,Extending,200.028,1572,8273
1,Extending,205.0,1621,8273
1,Extending,210.052,1671,8273
1,Extending,215.044,1720,8273
1,Extending,220.032,1769,8273
1,Extending,225.04,1819,8273
1,Extending,230.024,1868,8273
1,Extending,235.004,1917,8273
1,Extending,240.008,1967,8273
1,Extending,245.068,2017,8273
1,Extending,250.056,2066,8273
1,Extending,255.044,2115,8273
1,Extending,260.052,2165,8273
1,Extending,265.064,2215,8273
1,Extending,270.056,2264,8273
1,Extending,275.068,2314,8273
1,Extending,280.072,2364,8273
1,Extending,285.008,2413,8273
1,Extending,290.072,2463,8273
1,Extending,295.008,2512,8273
1,Extending,300.012,2562,8273
1,Extending,305.024,2612,8273
1,Extending,310.02,2661,8273
1,Extending,315.028,2711,8273
1,Extending,320.032,2761,8273
1,Extending,325.044,2811,8273
1,Extending,330.056,2861,8273
1,Extending,335.068,2911,8273
1,Extending,340.004,2960,8273
1,Extending,345.012,3010,8273
1,Extending,350.024,3060,8273
1,Extending,355.036,3110,8273
1,Extending,360.032,3160,8273
1,Extending,365.04,3210,8273
1,Extending,370.048,3259,8273
1,Extending,375.056,3309,8273
1,Extending,380.008,3359,8273
1,Extending,385.016,3409,8273
1,Extending,390.028,3459,8273
1,Extending,395.02,3508,8273
1,Extending,400.028,3558,8273
1,Extending,405.032,3608,8273
1,Extending,410.044,3658,8273
1,Extending,415.056,3708,8273
1,Extending,420.068,3758,8273
1,Extending,425.004,3807,8273
1,Extending,430.008,3857,8273
1,Extending,435.016,3907,8273
1,Extending,440.028,3957,8273
1,Extending,445.04,4007,8273
1,Extending,450.04,4057,8273
1,Extending,455.048,4107,8273
1,Extending,460.06,4157,8273
1,Extending,465.064,4207,8273
1,Extending,470.0,4256,8273
1,Extending,475.0,4306,8273
1,Extending,480.0,4356,8273
1,Extending,485.0,4406,8273
1,Extending,490.056,4457,8273
1,Extending,495.008,4506,8273
1,Extending,500.012,4556,8273
1,Extending,505.028,4606,8273
1,Extending,510.04,4656,8273
1,Extending,515.048,4706,8273
1,Extending,520.06,4756,8273
1,Extending,525.068,4806,8273
1,Extending,530.076,4856,8273
1,Extending,535.004,4905,8273
1,Extending,540.012,4955,8273
1,Extending,545.028,5005,8273
1,Extending,550.04,5055,8273
1,Extending,555.048,5105,8273
1,Extending,560.06,5155,8273
1,Extending,565.064,5205,8273
1,Extending,570.076,5255,8273
1,Extending,575.004,5304,8273
1,Extending,580.012,5354,8273
1,Extending,585.024,5404,8273
1,Extending,590.036,5454,8273
1,Extending,595.048,5504,8273
1,Extending,600.06,5554,8273
1,Extending,605.068,5604,8273
1,Extending,610.0,5653,8273
1,Extending,615.08,5704,8273
1,Extending,620.0,5753,8273
1,Extending,625.004,5803,8273
1,Extending,630.008,5853,8273
1,Extending,635.016,5903,8273
1,Extending,640.028,5953,8273
1,Extending,645.04,6003,8273
1,Extending,650.028,6052,8273
1,Extending,655.036,6102,8273
1,Extending,660.044,6152,8273
1,Extending,665.056,6202,8273
1,Extending,670.068,6252,8273
1,Extending,675.004,6301,8273
1,Extending,680.008,6351,8273
1,Extending,685.016,6401,8273
1,Extending,690.028,6451,8273
1,Extending,695.036,6501,8273
1,Extending,700.052,6551,8273
1,Extending,705.06,6601,8273
1,Extending,710.064,6651,8273
1,Extending,715.0,6700,8273
1,Extending,720.0,6750,8273
1,Extending,725.0,6800,8273
1,Extending,730.0,6850,8273
1,Extending,735.004,6900,8273
1,Extending,740.008,6950,8273
1,Extending,745.072,7000,8273
1,Extending,750.008,7050,8273
1,Extending,755.016,7100,8273
1,Extending,760.028,7150,8273
1,Extending,765.06,7200,8273
1,Extending,770.048,7250,8273
1,Extending,775.0,7299,8273
1,Extending,780.0,7349,8273
1,Extending,785.008,7399,8273
1,Extending,790.004,7448,8273
1,Extending,795.008,7496,8273
1,Extending,800.048,7545,8273
1,Extending,805.092,7593,8273
1,Extending,810.004,7639,8273
1,Extending,815.028,7685,8273
1,Extending,820.036,7732,8273
1,Extending,825.052,7777,8273
1,Extending,830.04,7822,8273
1,Extending,835.028,7867,8273
1,Extending,840.004,7911,8273
1,Extending,845.028,7955,8273
1,Extending,850.06,7999,8273
1,Extending,855.016,8042,8273
1,Extending,860.012,8085,8273
1,Extending,865.024,8122,8273
1,Extending,870.028,8154,8273
1,Extending,875.016,8179,8273
1,Extending,880.028,8200,8273
1,Extending,885.028,8215,8273
1,Extending,890.032,8226,8273
1,Extending,895.008,8233,8273
1,Extending,900.052,8237,8273
1,Extending,905.056,8241,8273
1,Extending,910.004,8247,8273
1,Extending,915.028,8254,8273
1,Extending,920.012,8261,8273
1,Extending,925.072,8268,8273
1,Extending,930.04,8274,8273
1,Extending,935.02,8280,8273
1,Extending,940.056,8285,8273
1,Extending,945.004,8289,8273
1,Extending,950.02,8291,8273
1,Extending,955.032,8291,8273
1,Extending,960.028,8290,8273
1,Extending,965.032,8287,8273
1,Extending,970.032,8285,8273
1,Extending,975.012,8284,8273
1,Extending,980.072,8283,8273
1,Extending,985.012,8282,8273
1,Extending,990.064,8283,8273
1,Extending,995.02,8283,8273
1,Extending,1000.004,8283,8273
1,Extending,1005.04,8283,8273
1,Extending,1010.072,8283,8273
1,Extending,1015.032,8283,8273
1,Extending,1020.064,8283,8273
1,Extending,1025.024,8283,8273
1,Extending,1030.056,8283,8273
1,Extending,1035.016,8283,8273
1,Extending,1040.052,8283,8273
1,Extending,1045.004,8283,8273
1,Extending,1050.032,8283,8273
1,Extending,1055.068,8283,8273
1,Extending,1060.024,8283,8273
1,Extending,1065.06,8283,8273
1,Extending,1070.012,8283,8273
1,Extending,1075.048,8283,8273
1,Extending,1080.004,8283,8273
1,Extending,1085.032,8283,8273
1,Extending,1090.06,8283,8273
1,Extending,1095.016,8283,8273
1,Extending,1100.048,8283,8273
1,Extending,1105.008,8283,8273
1,Extending,1110.032,8283,8273
1,Extending,1115.068,8283,8273
1,Extending,1120.028,8283,8273
1,Extending,1125.06,8283,8273
1,Extending,1130.008,8283,8273
1,Extending,1135.036,8283,8273
1,Extending,1140.072,8283,8273
1,Extending,1145.028,8283,8273
1,Extending,1150.068,8283,8273
1,Extending,1155.024,8283,8273
1,Extending,1160.06,8283,8273
1,Extending,1165.012,8283,8273
1,Extending,1170.048,8283,8273
1,Extending,1175.0,8283,8273
1,Extending,1180.024,8283,8273
1,Extending,1185.056,8283,8273
1,Extending,1190.016,8283,8273
1,Extending,1195.048,8283,8273
1,Extending,1200.008,8283,8273
1,Extending,1205.036,8283,8273
1,Extending,1210.068,8283,8273
1,Extending,1215.02,8283,8273
1,Extending,1220.052,8283,8273
1,Extending,1225.012,8283,8273
1,Extending,1230.044,8283,8273
1,Extending,1235.004,8283,8273
1,Extending,1240.032,8283,8273
1,Extending,1245.068,8283,8273
1,Extending,1250.024,8283,8273
1,Extending,1255.06,8283,8273
1,Extending,1260.008,8283,8273
1,Extending,1265.036,8283,8273
1,Extending,1270.068,8283,8273
1,Extending,1275.028,8283,8273
1,Extending,1280.064,8283,8273
1,Extending,1285.02,8283,8273
1,Extending,1290.048,8283,8273
1,Extending,1295.004,8283,8273
1,Extending,1300.024,8283,8273
1,Extending,1305.056,8283,8273
1,Extending,1310.016,8283,8273
1,Extending,1315.052,8283,8273
1,Extending,1320.012,8283,8273
1,Extending,1325.056,8283,8273
1,Extending,1330.012,8283,8273
1,Extending,1335.048,8283,8273
1,Extending,1340.004,8283,8273
1,Extending,1345.028,8283,8273
1,Extending,1350.064,8283,8273
1,Extending,1355.024,8283,8273
1,Extending,1360.056,8283,8273
1,Extending,1365.016,8283,8273
1,Extending,1370.048,8283,8273
1,Extending,1375.084,8283,8273
1,Extending,1380.024,8283,8273
1,Extending,1385.056,8283,8273
1,Extending,1390.008,8283,8273
1,Extending,1395.036,8283,8273
1,Extending,1400.072,8283,8273
1,Extending,1405.032,8283,8273
1,Extending,1410.068,8283,8273
1,Extending,1415.024,8283,8273
1,Extending,1420.06,8283,8273
1,Extending,1425.012,8283,8273
1,Extending,1430.04,8283,8273
1,Extending,1435.068,8283,8273
1,Extending,1440.028,8283,8273
1,Extending,1445.06,8283,8273
1,Extending,1450.016,8283,8273
1,Extending,1455.048,8283,8273
1,Extending,1460.008,8283,8273
1,Retracting,-10.0,8283,-59
1,Retracting,-5.0,8283,-59
1,Retracting,0.0,8283,-59
1,Retracting,5.208,8282,50
1,Retracting,10.056,8279,50
1,Retracting,15.032,8271,50
1,Retracting,20.048,8258,50
1,Retracting,25.032,8241,50
1,Retracting,30.004,8220,50
1,Retracting,35.028,8197,50
1,Retracting,40.044,8170,50
1,Retracting,45.048,8141,50
1,Retracting,50.032,8110,50
1,Retracting,55.056,8077,50
1,Retracting,60.036,8042,50
1,Retracting,65.072,8005,50
1,Retracting,70.044,7967,50
1,Retracting,75.072,7928,50
1,Retracting,80.024,7888,50
1,Retracting,85.0,7847,50
1,Retracting,90.068,7804,50
1,Retracting,95.008,7762,50
1,Retracting,100.036,7717,50
1,Retracting,105.06,7673,50
1,Retracting,110.012,7628,50
1,Retracting,115.072,7583,50
1,Retracting,120.068,7537,50
1,Retracting,125.06,7491,50
1,Retracting,130.044,7445,50
1,Retracting,135.056,7398,50
1,Retracting,140.072,7350,50
1,Retracting,145.024,7304,50
1,Retracting,150.052,7256,50
1,Retracting,155.004,7209,50
1,Retracting,160.028,7160,50
1,Retracting,165.076,7112,50
1,Retracting,170.024,7064,50
1,Retracting,175.072,7015,50
1,Retracting,180.04,6967,50
1,Retracting,185.024,6919,50
1,Retracting,190.072,6869,50
1,Retracting,195.044,6821,50
1,Retracting,200.032,6772,50
1,Retracting,205.02,6723,50
1,Retracting,210.0,6674,50
1,Retracting,215.032,6625,50
1,Retracting,220.02,6576,50
1,Retracting,225.004,6527,50
1,Retracting,230.0,6478,50
1,Retracting,235.036,6428,50
1,Retracting,240.04,6378,50
1,Retracting,245.024,6329,50
1,Retracting,250.012,6280,50
1,Retracting,255.012,6230,50
1,Retracting,260.004,6181,50
1,Retracting,265.008,6131,50
1,Retracting,270.0,6082,50
1,Retracting,275.06,6031,50
1,Retracting,280.064,5982,50
1,Retracting,285.072,5932,50
1,Retracting,290.008,5883,50
1,Retracting,295.012,5833,50
1,Retracting,300.0,5784,50
1,Retracting,305.076,5733,50
1,Retracting,310.008,5684,50
1,Retracting,315.012,5634,50
1,Retracting,320.004,5585,50
1,Retracting,325.008,5535,50
1,Retracting,330.012,5485,50
1,Retracting,335.024,5435,50
1,Retracting,340.032,5385,50
1,Retracting,345.04,5335,50
1,Retracting,350.044,5285,50
1,Retracting,355.056,5235,50
1,Retracting,360.064,5185,50
1,Retracting,365.072,5135,50
1,Retracting,370.004,5085,50
1,Retracting,375.008,5035,50
1,Retracting,380.032,4985,50
1,Retracting,385.036,4935,50
1,Retracting,390.048,4885,50
1,Retracting,395.056,4835,50
1,Retracting,400.064,4785,50
1,Retracting,405.076,4735,50
1,Retracting,410.008,4686,50
1,Retracting,415.008,4636,50
1,Retracting,420.012,4586,50
1,Retracting,425.04,4535,50
1,Retracting,430.04,4485,50
1,Retracting,435.044,4435,50
1,Retracting,440.056,4385,50
1,Retracting,445.064,4335,50
1,Retracting,450.076,4285,50
1,Retracting,455.024,4235,50
1,Retracting,460.036,4185,50
1,Retracting,465.048,4135,50
1,Retracting,470.06,4085,50
1,Retracting,475.0,4035,50
1,Retracting,480.0,3985,50
1,Retracting,485.056,3934,50
1,Retracting,490.004,3885,50
1,Retracting,495.012,3835,50
1,Retracting,500.024,3785,50
1,Retracting,505.036,3734,50
1,Retracting,510.064,3684,50
1,Retracting,515.068,3634,50
1,Retracting,520.0,3585,50
1,Retracting,525.076,3534,50
1,Retracting,530.024,3484,50
1,Retracting,535.032,3434,50
1,Retracting,540.044,3383,50
1,Retracting,545.072,3333,50
1,Retracting,550.004,3284,50
1,Retracting,555.004,3233,50
1,Retracting,560.024,3183,50
1,Retracting,565.036,3133,50
1,Retracting,570.048,3083,50
1,Retracting,575.072,3032,50
1,Retracting,580.008,2983,50
1,Retracting,585.012,2932,50
1,Retracting,590.04,2882,50
1,Retracting,595.044,2832,50
1,Retracting,600.048,2781,50
1,Retracting,605.072,2731,50
1,Retracting,610.008,2682,50
1,Retracting,615.028,2631,50
1,Retracting,620.036,2581,50
1,Retracting,625.048,2531,50
1,Retracting,630.072,2480,50
1,Retracting,635.008,2431,50
1,Retracting,640.004,2380,50
1,Retracting,645.024,2330,50
1,Retracting,650.036,2279,50
1,Retracting,655.064,2229,50
1,Retracting,660.076,2179,50
1,Retracting,665.024,2129,50
1,Retracting,670.04,2079,50
1,Retracting,675.06,2028,50
1,Retracting,680.068,1978,50
1,Retracting,685.008,1928,50
1,Retracting,690.012,1878,50
1,Retracting,695.044,1827,50
1,Retracting,700.052,1777,50
1,Retracting,705.004,1727,50
1,Retracting,710.008,1677,50
1,Retracting,715.028,1626,50
1,Retracting,720.036,1576,50
1,Retracting,725.068,1525,50
1,Retracting,730.068,1475,50
1,Retracting,735.016,1425,50
1,Retracting,740.032,1374,50
1,Retracting,745.06,1324,50
1,Retracting,750.004,1274,50
1,Retracting,755.008,1224,50
1,Retracting,760.032,1173,50
1,Retracting,765.044,1123,50
1,Retracting,770.064,1072,50
1,Retracting,775.076,1022,50
1,Retracting,780.024,972,50
1,Retracting,785.04,921,50
1,Retracting,790.004,872,50
1,Retracting,795.008,823,50
1,Retracting,800.012,774,50
1,Retracting,805.076,725,50
1,Retracting,810.124,677,50
1,Retracting,815.036,631,50
1,Retracting,820.012,585,50
1,Retracting,825.04,538,50
1,Retracting,830.048,492,50
1,Retracting,835.04,447,50
1,Retracting,840.032,402,50
1,Retracting,845.024,357,50
1,Retracting,850.004,313,50
1,Retracting,855.024,269,50
1,Retracting,860.06,226,50
1,Retracting,865.004,189,50
1,Retracting,870.036,158,50
1,Retracting,875.068,133,50
1,Retracting,880.04,113,50
1,Retracting,885.056,97,50
1,Retracting,890.012,86,50
1,Retracting,895.048,79,50
1,Retracting,900.052,75,50
1,Retracting,905.036,70,50
1,Retracting,910.036,64,50
1,Retracting,915.048,58,50
1,Retracting,920.04,53,50
1,Retracting,925.02,49,50
1,Retracting,930.04,45,50
1,Retracting,935.064,42,50
1,Retracting,940.004,40,50
1,Retracting,945.068,39,50
1,Retracting,950.056,38,50
1,Retracting,955.048,37,50
1,Retracting,960.052,37,50
1,Retracting,965.052,37,50
1,Retracting,970.052,37,50
1,Retracting,975.052,37,50
1,Retracting,980.056,37,50
1,Retracting,985.048,37,50
1,Retracting,990.048,37,50
1,Retracting,995.044,37,50
1,Retracting,1000.044,37,50
1,Retracting,1005.012,37,50
1,Retracting,1010.056,37,50
1,Retracting,1015.024,37,50
1,Retracting,1020.068,37,50
1,Retracting,1025.028,37,50
1,Retracting,1030.072,37,50
1,Retracting,1035.04,37,50
1,Retracting,1040.004,37,50
1,Retracting,1045.04,37,50
1,Retracting,1050.004,37,50
1,Retracting,1055.04,37,50
1,Retracting,1060.0,37,50
1,Retracting,1065.032,37,50
1,Retracting,1070.068,37,50
1,Retracting,1075.04,37,50
1,Retracting,1080.004,37,50
1,Retracting,1085.04,37,50
1,Retracting,1090.0,37,50
1,Retracting,1095.032,37,50
1,Retracting,1100.0,37,50
1,Retracting,1105.032,37,50
1,Retracting,1110.076,37,50
1,Retracting,1115.04,37,50
1,Retracting,1120.004,37,50
1,Retracting,1125.04,37,50
1,Retracting,1130.0,37,50
1,Retracting,1135.032,37,50
1,Retracting,1140.0,37,50
1,Retracting,1145.032,37,50
1,Retracting,1150.0,37,50
1,Retracting,1155.028,37,50
1,Retracting,1160.072,37,50
1,Retracting,1165.04,37,50
1,Retracting,1170.0,37,50
1,Retracting,1175.032,37,50
1,Retracting,1180.0,37,50
1,Retracting,1185.032,37,50
1,Retracting,1190.004,37,50
1,Retracting,1195.032,37,50
1,Retracting,1200.004,37,50
1,Retracting,1205.04,37,50
1,Retracting,1210.0,37,50
1,Retracting,1215.032,37,50
1,Retracting,1220.004,37,50
1,Retracting,1225.04,37,50
1,Retracting,1230.0,37,50
1,Retracting,1235.036,37,50
1,Retracting,1240.072,37,50
1,Retracting,1245.04,37,50
1,Retracting,1250.004,37,50
1,Retracting,1255.04,37,50
1,Retracting,1260.004,37,50
1,Retracting,1265.04,37,50
1,Retracting,1270.004,37,50
1,Retracting,1275.044,37,50
1,Retracting,1280.008,37,50
1,Retracting,1285.04,37,50
1,Retracting,1290.004,37,50
1,Retracting,1295.04,37,50
1,Retracting,1300.0,37,50
1,Retracting,1305.032,37,50
1,Retracting,1310.0,37,50
1,Retracting,1315.032,37,50
1,Retracting,1320.0,37,50
1,Retracting,1325.024,37,50
1,Retracting,1330.068,37,50
1,Retracting,1335.036,37,50
1,Retracting,1340.08,37,50
1,Retracting,1345.024,37,50
1,Retracting,1350.064,37,50
1,Retracting,1355.032,37,50
1,Retracting,1360.0,37,50
1,Retracting,1365.028,37,50
1,Retracting,1370.068,37,50
1,Retracting,1375.036,37,50
1,Retracting,1380.004,37,50
1,Retracting,1385.04,37,50
1,Retracting,1390.004,37,50
1,Retracting,1395.04,37,50
1,Retracting,1400.004,37,50
1,Retracting,1405.04,37,50
1,Retracting,1410.072,37,50
2,Extending,-10.0,37,8273
2,Extending,-5.0,37,8273
2,Extending,0.0,37,8273
2,Extending,5.008,38,8273
2,Extending,10.028,41,8273
2,Extending,15.072,49,8273
2,Extending,20.112,63,8273
2,Extending,25.084,79,8273
2,Extending,30.02,100,8273
2,Extending,35.048,123,8273
2,Extending,40.004,150,8273
2,Extending,45.012,179,8273
2,Extending,50.068,210,8273
2,Extending,55.016,243,8273
2,Extending,60.016,278,8273
2,Extending,65.028,315,8273
2,Extending,70.02,352,8273
2,Extending,75.028,392,8273
2,Extending,80.0,432,8273
2,Extending,85.036,473,8273
2,Extending,90.044,516,8273
2,Extending,95.012,558,8273
2,Extending,100.056,603,8273
2,Extending,105.024,647,8273
2,Extending,110.0,691,8273
2,Extending,115.032,737,8273
2,Extending,120.036,783,8273
2,Extending,125.056,830,8273
2,Extending,130.0,876,8273
2,Extending,135.008,923,8273
2,Extending,140.02,971,8273
2,Extending,145.052,1019,8273
2,Extending,150.02,1066,8273
2,Extending,155.044,1115,8273
2,Extending,160.016,1163,8273
2,Extending,165.048,1211,8273
2,Extending,170.032,1259,8273
2,Extending,175.004,1308,8273
2,Extending,180.048,1357,8273
2,Extending,185.036,1406,8273
2,Extending,190.024,1455,8273
2,Extending,195.068,1504,8273
2,Extending,200.056,1553,8273
2,Extending,205.06,1603,8273
2,Extending,210.044,1652,8273
2,Extending,215.032,1701,8273
2,Extending,220.024,1750,8273
2,Extending,225.028,1799,8273
2,Extending,230.016,1849,8273
2,Extending,235.02,1898,8273
2,Extending,240.004,1948,8273
2,Extending,245.064,1998,8273
2,Extending,250.072,2048,8273
2,Extending,255.004,2097,8273
2,Extending,260.064,2147,8273
2,Extending,265.072,2197,8273
2,Extending,270.008,2246,8273
2,Extending,275.072,2296,8273
2,Extending,280.0,2345,8273
2,Extending,285.004,2395,8273
2,Extending,290.008,2445,8273
2,Extending,295.012,2495,8273
2,Extending,300.028,2545,8273
2,Extending,305.04,2595,8273
2,Extending,310.048,2645,8273
2,Extending,315.04,2695,8273
2,Extending,320.04,2744,8273
2,Extending,325.048,2794,8273
2,Extending,330.056,2844,8273
2,Extending,335.068,2894,8273
2,Extending,340.0,2943,8273
2,Extending,345.0,2993,8273
2,Extending,350.0,3043,8273
2,Extending,355.0,3093,8273
2,Extending,360.004,3143,8273
2,Extending,365.064,3193,8273
2,Extending,370.076,3243,8273
